Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
OTUD6B-AS1	132.7757577048913	3.0250352982658748e-5	0.001442320872458634	0.1544866170148662	0.9369321113908191	FALSE
CDKN2AIP	204.7748101711462	3.0238828573523372e-5	0.001442325159571628	0.2866135393789649	0.9462227688227728	FALSE
CHTOP	1334.1373762912904	3.023772876846167e-5	0.0014401991058339784	0.9279962964671289	0.9968776676048539	FALSE
ACSS1	1123.5398016348079	3.018168619274195e-5	0.0014420518267193301	0.13322896879443222	0.9353320684514788	FALSE
ERCC6L2	138.51125428056875	3.0171065716007973e-5	0.0014426097878125956	0.022777621566965476	0.8131700667906856	FALSE
UPK3BL2	619.7339247093473	3.0162748562911076e-5	0.0014427434960209587	0.06894664263967315	0.8974333869626038	FALSE
PSMB3	1341.457532591765	3.015439575390674e-5	0.001442495889934584	0.6897787706651324	0.9827494532330928	FALSE
SWAP70	463.0030432152047	3.015126516433236e-5	0.0014425316759861207	0.12881221812431387	0.9333972064576997	FALSE
TARBP2	260.9246790443302	3.0125864904337756e-5	0.0014422301426324576	0.5703403508412347	0.9805314950908789	FALSE
TECPR1	2173.537197417938	3.012235526468789e-5	0.001441712630986852	0.29351957963197794	0.9476237356204695	FALSE
LSM6	241.13702438300677	3.0049790565228465e-5	0.0014423660362885224	0.11896525485624887	0.9240059186137667	FALSE
VOPP1	1479.2203353728153	3.0041611045664434e-5	0.0014422068022846893	0.515292421297512	0.9730941672828417	FALSE
MRPS5	505.2170358284876	3.0035315381074564e-5	0.001441875544890579	0.6091129673139162	0.9808163488304377	FALSE
GRK3	734.8238741810653	3.0005845002878655e-5	0.0014423858595907614	0.08318460984391705	0.9072007633329057	FALSE
ASB7	242.6628669692256	2.999520057200705e-5	0.0014422591753094484	0.16287033933569647	0.9369321113908191	FALSE
MAPKAPK5	344.33004138550035	2.999120386984643e-5	0.0014421547891017505	0.13635309821420888	0.9369321113908191	FALSE
SOD1	768.548736060707	2.9990052470370807e-5	0.001442163835722496	0.4095916081724477	0.9640001410342711	FALSE
ALDH2	998.2451168127317	2.9988703106193054e-5	0.0014425814624541768	0.527125872562007	0.9747390803420739	FALSE
RNF215	109.10003947208435	2.9965414400946096e-5	0.0014424449285811753	0.09035907409567716	0.9172454223914152	FALSE
SREBF1	1686.243892043341	2.9953517721645945e-5	0.001442394545993434	0.6952627068696773	0.9827494532330928	FALSE
INSIG2	144.5422468184978	2.994720076273986e-5	0.0014424830999923484	0.059085839097884535	0.88085672646122	FALSE
EP400P1	285.7047923169949	2.9932675815718526e-5	0.0014425502356379433	0.10413734795956024	0.9199837696888991	FALSE
GTF3C4	156.55958096311196	2.991764490946913e-5	0.001442338684144309	0.2151294510744483	0.9431011686382762	FALSE
PLBD2	616.1890879096319	2.9906478967083176e-5	0.0014424864312311781	0.8177951767379074	0.9927938047402514	FALSE
